source_id,data_type,provider,product_title,source_page_url,actual_download_url,access_date,source_year,boundary_year,spatial_unit,file_format,original_crs,local_filename,sha256,license,notes
cpv2022_sector_csv,indicator table,INEC Ecuador,CPV 2022 sector CSV database (BDD_CPV2022_SECT_CSV),https://www.censoecuador.gob.ec/data-censo-ecuador/,https://www.ecuadorencifras.gob.ec/documentos/web-inec/bd-censo/sector/BDD_CPV2022_SECT_CSV.zip,2026-07-10,2022,2022,census sector,ZIP (semicolon CSV),n/a (tabular),BDD_CPV2022_SECT_CSV.zip,e1dd8c7cfefc388cba5765fa9e94d6865d2ae2bc81667051667d1cd0b786300f,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,Person/household/dwelling tables aggregated to 2022 sector indicators (all three cities).
cpv2022_sector_boundaries,boundary,INEC Ecuador,CPV 2022 anonymous sector boundary (CapaSectores),https://www.censoecuador.gob.ec/data-censo-ecuador/,https://www.ecuadorencifras.gob.ec/documentos/web-inec/capa/CapaSectores.zip,2026-07-10,2022,2022,census sector,ZIP (GeoPackage),EPSG:32717,original_boundary.zip,ee8b376471de507ba5576ec995834dd0ce4c51d2cf27f09d7c75acc7cf20a16d,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,"官方原名 CapaSectores.zip，打包时重命名为 original_boundary.zip（存于 data/raw/boundary/，zip 字节不变、sha256 一致），内含 sectores_anonimizados.gpkg。National 52,946 sectors filtered by canton to three cities (15,949)."
cpv2010_pichincha_csv,indicator table (2010),INEC Ecuador,CPV 2010 Pichincha province sector CSV,https://www.ecuadorencifras.gob.ec/base-de-datos-censo-de-poblacion-y-vivienda/,https://www.ecuadorencifras.gob.ec/documentos/datos/Poblacion_y_Demografia/Censo_poblacion_y_vivienda_/2010/bdd_csv/CPV2010S_CSV_Pichincha.zip,2026-07-10,2010,2022,census sector (2010),ZIP (CSV),n/a (tabular),CPV2010S_CSV_Pichincha.zip,a1b89b9b33e022bba5354b94a3935711459e1f93ccac45bd833e5d76ff8bee2f,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,2010 census for Quito (Pichincha); used only for cross-year AI modeling (13-indicator subset).
cpv2010_guayas_csv,indicator table (2010),INEC Ecuador,CPV 2010 Guayas province sector CSV,https://www.ecuadorencifras.gob.ec/base-de-datos-censo-de-poblacion-y-vivienda/,https://www.ecuadorencifras.gob.ec/documentos/datos/Poblacion_y_Demografia/Censo_poblacion_y_vivienda_/2010/bdd_csv/CPV2010S_CSV_Guayas.zip,2026-07-10,2010,2022,census sector (2010),ZIP (CSV),n/a (tabular),CPV2010S_CSV_Guayas.zip,65117f10196825edbe6b2e2aeb98d1465b8ce29d633ca517514c45957e511366,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,2010 census for Guayaquil (Guayas); cross-year AI modeling only.
cpv2010_azuay_csv,indicator table (2010),INEC Ecuador,CPV 2010 Azuay province sector CSV,https://www.ecuadorencifras.gob.ec/base-de-datos-censo-de-poblacion-y-vivienda/,https://www.ecuadorencifras.gob.ec/documentos/datos/Poblacion_y_Demografia/Censo_poblacion_y_vivienda_/2010/bdd_csv/CPV2010S_CSV_Azuay.zip,2026-07-10,2010,2022,census sector (2010),ZIP (CSV),n/a (tabular),CPV2010S_CSV_Azuay.zip,d775e7e640de99c8e04c6649ba33053c56d1ba510b75df712ae45e4dd1a80c04,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,2010 census for Cuenca (Azuay); cross-year AI modeling only.
cpv2010_geodatabase,boundary (2010),INEC Ecuador,CPV 2010 adjusted national geodatabase v3 (GEODATABASE2014-AJUSTADA-V3),https://www.ecuadorencifras.gob.ec/documentos/web-inec/Geografia_Estadistica/,https://www.ecuadorencifras.gob.ec/documentos/web-inec/Geografia_Estadistica/geodata_base_2010/GEODATABASE2014-AJUSTADA-V3.zip,2026-07-10,2010,2010,census sector (2010),ZIP (Geodatabase),EPSG:32717,GEODATABASE2014-AJUSTADA-V3.zip,c861beb07ab090e7c869695f2dd99931e81a22ae226245d9e0b3a621009da984,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,2010 national sector geometry; used for 2010->2022 areal crosswalk in AI modeling.
inec_anda_catalog,access policy,INEC Ecuador,"ANDA microdata catalog entry (CPV 2022, catalog 1085)",https://anda.inec.gob.ec/anda5/index.php/catalog/1085,,2026-07-10,2022,2022,n/a,web,n/a,n/a,n/a,Free access public-use data; (c) 2022 INEC; cite INEC CPV 2022 v1.6,"Official access policy and citation page. Required citation: INEC, VIII Censo de Poblacion y VII de Vivienda 2022, v1.6."
